TargetPitch,SensorPitch,TargetRoll,SensorRoll
0.0000,-0.0636,0.1700,-0.2199
0.0000,-0.0631,0.1700,-0.2167
0.0000,-0.0628,0.1700,-0.2142
0.0000,-0.0625,0.1700,-0.2117
0.0000,-0.0620,0.1700,-0.2091
0.0000,-0.0617,0.1700,-0.2063
0.0000,-0.0614,0.1700,-0.2042
0.0000,-0.0608,0.1700,-0.2005
0.0000,-0.0604,0.1700,-0.1974
0.0000,-0.0600,0.1700,-0.1951
0.0000,-0.0596,0.1700,-0.1923
0.0000,-0.0592,0.1700,-0.1897
0.0000,-0.0588,0.1700,-0.1865
0.0000,-0.0585,0.1700,-0.1840
0.0000,-0.0581,0.1700,-0.1809
0.0000,-0.0577,0.1700,-0.1782
0.0000,-0.0574,0.1700,-0.1754
0.0000,-0.0570,0.1700,-0.1720
0.0000,-0.0568,0.1700,-0.1696
0.0000,-0.0565,0.1700,-0.1669
0.0000,-0.0562,0.1700,-0.1641
0.0000,-0.0559,0.1700,-0.1608
0.0000,-0.0558,0.1700,-0.1585
0.0000,-0.0554,0.1700,-0.1555
0.0000,-0.0550,0.1700,-0.1523
0.0000,-0.0548,0.1700,-0.1501
0.0000,-0.0544,0.1700,-0.1470
0.0000,-0.0541,0.1700,-0.1438
0.0000,-0.0537,0.1700,-0.1413
0.0000,-0.0535,0.1700,-0.1393
0.0000,-0.0531,0.1700,-0.1367
0.0000,-0.0528,0.1700,-0.1341
0.0000,-0.0525,0.1700,-0.1310
0.0000,-0.0522,0.1700,-0.1283
0.0000,-0.0519,0.1700,-0.1260
0.0000,-0.0516,0.1700,-0.1224
0.0000,-0.0512,0.1700,-0.1193
0.0000,-0.0509,0.1700,-0.1169
0.0000,-0.0507,0.1700,-0.1146
0.0000,-0.0504,0.1700,-0.1123
0.0000,-0.0501,0.1700,-0.1085
0.0000,-0.0497,0.1700,-0.1054
0.0000,-0.0495,0.1700,-0.1035
0.0000,-0.0492,0.1700,-0.1009
0.0000,-0.0489,0.1700,-0.0976
0.0000,-0.0486,0.1700,-0.0948
0.0000,-0.0483,0.1700,-0.0928
0.0000,-0.0481,0.1700,-0.0901
0.0000,-0.0479,0.1700,-0.0875
0.0000,-0.0475,0.1700,-0.0848
0.0000,-0.0472,0.1700,-0.0819
0.0000,-0.0469,0.1700,-0.0789
0.0000,-0.0466,0.1700,-0.0764
0.0000,-0.0464,0.1700,-0.0742
0.0000,-0.0461,0.1700,-0.0708
0.0000,-0.0458,0.1700,-0.0684
0.0000,-0.0455,0.1700,-0.0661
0.0000,-0.0453,0.1700,-0.0628
0.0000,-0.0450,0.1700,-0.0604
0.0000,-0.0448,0.1700,-0.0578
0.0000,-0.0446,0.1700,-0.0551
0.0000,-0.0443,0.1700,-0.0523
0.0000,-0.0439,0.1700,-0.0495
0.0000,-0.0436,0.1700,-0.0467
0.0000,-0.0433,0.1700,-0.0441
0.0000,-0.0428,0.1700,-0.0417
0.0000,-0.0425,0.1700,-0.0381
0.0000,-0.0421,0.1700,-0.0353
0.0000,-0.0419,0.1700,-0.0331
0.0000,-0.0418,0.1700,-0.0308
0.0000,-0.0414,0.1700,-0.0281
0.0000,-0.0413,0.1700,-0.0248
0.0000,-0.0415,0.1700,-0.0225
0.0000,-0.0415,-0.1700,-0.0205
0.0000,-0.0413,-0.1700,-0.0180
0.0000,-0.0413,-0.1700,-0.0173
0.0000,-0.0410,-0.1700,-0.0184
0.0000,-0.0407,-0.1700,-0.0228
0.0000,-0.0409,-0.1700,-0.0283
0.0000,-0.0411,-0.1700,-0.0307
0.0000,-0.0414,-0.1700,-0.0326
0.0000,-0.0416,-0.1700,-0.0349
0.0000,-0.0418,-0.1700,-0.0389
0.0000,-0.0421,-0.1700,-0.0423
0.0000,-0.0426,-0.1700,-0.0455
0.0000,-0.0428,-0.1700,-0.0483
0.0000,-0.0431,-0.1700,-0.0509
0.0000,-0.0434,-0.1700,-0.0540
0.0000,-0.0436,-0.1700,-0.0570
0.0000,-0.0439,-0.1700,-0.0603
0.0000,-0.0443,-0.1700,-0.0631
0.0000,-0.0444,-0.1700,-0.0660
0.0000,-0.0446,-0.1700,-0.0693
0.0000,-0.0449,-0.1700,-0.0724
0.0000,-0.0452,-0.1700,-0.0750
0.0000,-0.0456,-0.1700,-0.0780
0.0000,-0.0458,-0.1700,-0.0808
0.0000,-0.0462,-0.1700,-0.0842
0.0000,-0.0465,-0.1700,-0.0871
0.0000,-0.0468,-0.1700,-0.0896
0.0000,-0.0471,-0.1700,-0.0924
